序号,地区,省份,采购单位,项目名称,预算,截止日期,招标方式,业务标签,推荐,来源,链接
58,东北,吉林,吉林银行,智能审单系统建设采购项目（二次）,59万元,2026-07-14 09:00,公开招标,大模型应用,⭐ ★★☆ 建议投标,国信招标与采购信息平台,http://www.qgzbcgjypt.com/zhaobiaocaigou/99731.html
59,华东,江苏,苏州农商,2026年度数据类通用技术外包服务项目（人工智能）,框架入围（无固定总预算）,2026-07-16 16:00,公开招标,"人力外包,大模型应用",★☆☆ 可关注,苏州农商行官网,https://www.szrcb.com/szrcb/2026-06/24/article_2026062414500012812.shtml
60,华东,浙江,浙江农商,外汇资金系统-外币债券数据采购,150万元,2026-07-01 17:00,公开招标,"金融市场/资金/同业,数据服务",⭐ ★★☆ 建议投标,浙江农信官网,https://www.zj96596.com/zj96596/2026-06/24/article_2026062412215579393.shtml
61,华东,浙江,杭州工商信托,资产管理相关系统功能建设项目标段一：投资交易及组合管理相关功能建设,170万元,2026-07-03,公开招标,资产管理,⭐ ★★☆ 建议投标,千里马招标网,https://www.qianlima.com/bid-607508126.html
62,华东,浙江,杭州工商信托,资产管理相关系统功能建设项目标段二：产品账务处理及产品估值相关功能（估值系统）功能建设,300万元,2026-07-03,公开招标,资产管理,⭐ ★★☆ 建议投标,千里马招标网,https://www.qianlima.com/bid-607508083.html
63,华东,浙江,杭州工商信托,资产管理相关系统功能建设项目标段三：投资标的与投后持仓资产管理相关功能建设,295万元,2026-07-03,公开招标,资产管理,⭐ ★★☆ 建议投标,千里马招标网,https://www.qianlima.com/bid-607508122.html
64,华北,北京,北银理财,2026新媒体账号视频内容及直播制作服务项目（第二次）,35万元,2026-07-03,竞争性磋商,其他,★☆☆ 可关注,千里马招标网,https://www.qianlima.com/bid-607433249.html
65,华东,山东,光大理财,投资端资金清算系统对接GAMS外币系统及新增功能项目（三次采购）,57.6万元,2026-07-01,单一来源采购,资产管理,★☆☆ 可关注,千里马招标网,https://www.qianlima.com/bid-607035042.html
66,华北,河北,秦皇岛银行,2026年理财系统业务对接及功能优化一期项目,23.85万元,2026-07-02,单一来源采购,资产管理,★☆☆ 可关注,千里马招标网,https://www.qianlima.com/bid-607648485.html
67,华东,上海,上海农商,债券信息、基金信息、大类资产及宏观指标等外部数据采购,最高限价12万元,2026-06-29,供应商征集,数据服务,★☆☆ 可关注,千里马招标网,https://www.qianlima.com/bid-608099969.html
68,华东,山东,青岛银行,2026年度中债估值数据服务项目,139.707万元,2026-07-14,直接采购,"数据服务,金融市场/资金/同业",★☆☆ 可关注,千里马招标网,https://www.qianlima.com/bid-607816241.html
69,华东,江苏,江苏银行,2026-2028年金融市场信息数据库采购,最高限价140万元,2026-07-02,公开招标,"数据服务,金融市场/资金/同业",⭐ ★★☆ 建议投标,千里马招标网,https://www.qianlima.com/bid-607029048.html
70,华东,上海,上海农商,宏观与产业、指数与商品等外部数据采购,最高限价13万元,2026-06-29,供应商征集,数据服务,★☆☆ 可关注,千里马招标网,https://www.qianlima.com/bid-607792085.html
71,华东,江苏,江苏银行,2026-2027年对公企业及发债主体舆情数据采购,最高限价47.5万元,2026-07-13,公开招标,"数据服务,风控合规",⭐ ★★☆ 建议投标,千里马招标网,https://www.qianlima.com/bid-607522014.html
72,华东,北京,兴宝国际信托,定制化债券信用评级及投研服务项目（第二次）,33万元,2026-07-21,重新招标,资产管理,★☆☆ 可关注,千里马招标网,https://www.qianlima.com/bid-609003053.html
73,西南,四川,成都银行,2026年ComStar资金管理系统服务年度供应商采购项目（第二次）,609万元,2026-07-06,单一来源采购,金融市场/资金/同业,★☆☆ 可关注,千里马招标网,https://www.qianlima.com/bid-609000061.html
74,华东,上海,上海银行,杭州分行软件开发项目供应商入围采购,113万元,2026-07-14,竞争性磋商,人力外包,★☆☆ 可关注,千里马招标网,https://www.qianlima.com/bid-608822673.html
75,西南,四川,成都银行,风控数智化工具-智能合同审核系统采购项目,100万元,2026-07-10 14:20,竞争性磋商,"风控合规,大模型应用",⭐ ★★☆ 建议投标,微信公众号（银行科技研究社）,https://mp.weixin.qq.com/s/JXFKzZnXqzLafy4lewuddw
76,西南,云南,建行云南分行,云南省2026至2027年度信息技术开发服务,1237.2万元,2026-07-16 09:30,公开招标,"人力外包,信创/国产化",★☆☆ 可关注,建设银行龙集采平台,https://ibuy.ccb.com/cms/index.html#/content?pId=355&id=2069990173371297792
77,华北,北京,中国建设银行股份有限公司内蒙古自治区分行,内蒙古区分行国库集中支付等系统信息技术软件开发服务采购项目单一来源采前公示,-,-,公开招标,其他IT,★☆☆ 可关注,天眼查-银行,https://m.tianyancha.com/app/h5/bid/61fff70084c54dd8a03659911aa3df72?code=edf4&icode=229da708cc7232a03acd5eaf0face5aa
78,其他,其他,河南农村商业银行股份有限公司商水支行,河南农商银行商水支行110联网报警系统服务项目磋商公告,-,-,公开招标,其他IT,★☆☆ 可关注,天眼查-银行,https://m.tianyancha.com/app/h5/bid/71c2c366a99d457f9b9cfc64a5f41f9c?code=2b56&icode=94a34c2ce6c4c42d3077e73e258cded6
79,华北,北京,中国银行股份有限公司河南省分行,河南大张实业有限公司智慧商业场景合作追加投资项目（二次） 招标公告,-,-,公开招标,其他IT,★☆☆ 可关注,天眼查-银行,https://m.tianyancha.com/app/h5/bid/da4f73cf6cd24cf288fe45552c66af31?code=db2a&icode=432833addfba53f21f33dcb0c233c155
