序号,地区,省份,采购单位,项目名称,预算,截止日期,招标方式,业务标签,推荐,来源,链接
99,其他,其他,安徽省安泰科技股份有限公司,省内事业部事务-中国农业发展银行金融科技中心项目-投标动画演示邀请书,-,-,公开招标,其他IT,★☆☆ 可关注,天眼查-金融科技,https://m.tianyancha.com/app/h5/bid/5b34662763a84b3993fe5f1e89308166?code=b787&icode=ca62c9cba3be1954f8b075f088daa852
100,华北,北京,中国工商银行,2026年智能柜员机项目,-,-,公开招标,数据/AI,★★☆ 建议关注,阶段A-中国工商银行官网,https://www.ipsb.icbc.com.cn/
101,华北,北京,中国工商银行,网络工程实施项目,-,-,公开招标,基础设施,★☆☆ 可关注,阶段A-中国工商银行官网,https://www.ipsb.icbc.com.cn/
102,华北,北京,中国工商银行,科研项目管理平台项目,-,-,公开招标,其他IT,★☆☆ 可关注,阶段A-中国工商银行官网,https://www.ipsb.icbc.com.cn/
103,华北,北京,中国工商银行,发票云平台项目,-,-,公开招标,基础设施,★☆☆ 可关注,阶段A-中国工商银行官网,https://www.ipsb.icbc.com.cn/
104,华南,广东,招商银行株洲分行,株洲分行媒体云项目,-,-,公开招标,基础设施,★☆☆ 可关注,阶段A-招商银行官网,https://www.cmbchina.com/
105,华东,浙江,浙商银行,日志平台维保服务项目,-,-,公开招标,运维/外包,★☆☆ 可关注,阶段A-浙商银行官网,https://www.zsbank.com/
106,华东,浙江,浙商银行,数据总线平台维保项目,-,-,公开招标,数据/AI,★★☆ 建议关注,阶段A-浙商银行官网,https://www.zsbank.com/
107,华东,浙江,浙商银行,交易级会计引擎运行维护项目,-,-,公开招标,其他IT,★☆☆ 可关注,阶段A-浙商银行官网,https://www.zsbank.com/
108,华东,浙江,浙商银行,服务计价治理项目,-,-,公开招标,其他IT,★☆☆ 可关注,阶段A-浙商银行官网,https://www.zsbank.com/
109,华东,浙江,浙商银行,产品研发中心通讯项目,-,-,公开招标,其他IT,★☆☆ 可关注,阶段A-浙商银行官网,https://www.zsbank.com/
110,华东,浙江,浙商银行,全面测试贯标项目,-,-,公开招标,运维/外包,★☆☆ 可关注,阶段A-浙商银行官网,https://www.zsbank.com/
111,华东,浙江,浙商银行,重载计划中心项目,-,-,公开招标,其他IT,★☆☆ 可关注,阶段A-浙商银行官网,https://www.zsbank.com/
112,华东,浙江,浙商银行,服务资产等保测评项目,-,-,公开招标,风控/安全,★☆☆ 可关注,阶段A-浙商银行官网,https://www.zsbank.com/
113,华东,浙江,浙商银行,科技研发运行监测服务项目,-,-,公开招标,其他IT,★☆☆ 可关注,阶段A-浙商银行官网,https://www.zsbank.com/
114,华东,浙江,浙商银行,手机终端等保测评项目,-,-,公开招标,风控/安全,★☆☆ 可关注,阶段A-浙商银行官网,https://www.zsbank.com/
115,华东,浙江,浙商银行,企业级营销数据服务项目,-,-,公开招标,数据/AI,★★☆ 建议关注,阶段A-浙商银行官网,https://www.zsbank.com/
116,华东,浙江,浙商银行,基层治理系统绩效监测项目,-,-,公开招标,其他IT,★☆☆ 可关注,阶段A-浙商银行官网,https://www.zsbank.com/
117,华东,浙江,浙商银行,移动开发平台项目,-,-,公开招标,其他IT,★☆☆ 可关注,阶段A-浙商银行官网,https://www.zsbank.com/
118,华东,浙江,浙商银行,身份安全治理平台项目,-,-,公开招标,风控/安全,★☆☆ 可关注,阶段A-浙商银行官网,https://www.zsbank.com/
119,华东,浙江,浙商银行,CMMI3认证咨询项目,-,-,公开招标,其他IT,★☆☆ 可关注,阶段A-浙商银行官网,https://www.zsbank.com/
120,华东,浙江,浙商银行,资金产品项目,-,-,公开招标,其他IT,★☆☆ 可关注,阶段A-浙商银行官网,https://www.zsbank.com/
121,华东,浙江,浙商银行,行内检测工程师项目,-,-,公开招标,其他IT,★☆☆ 可关注,阶段A-浙商银行官网,https://www.zsbank.com/
122,华东,浙江,浙商银行,企网安全检测项目,-,-,公开招标,风控/安全,★☆☆ 可关注,阶段A-浙商银行官网,https://www.zsbank.com/
123,华东,浙江,浙商银行,财资系统项目,-,-,公开招标,其他IT,★☆☆ 可关注,阶段A-浙商银行官网,https://www.zsbank.com/
124,华东,浙江,浙商银行,营销数据共享项目,-,-,公开招标,数据/AI,★★☆ 建议关注,阶段A-浙商银行官网,https://www.zsbank.com/
125,华东,浙江,浙商银行,治理工具项目,-,-,公开招标,其他IT,★☆☆ 可关注,阶段A-浙商银行官网,https://www.zsbank.com/
126,华东,浙江,浙商银行,客户通运维项目,-,-,公开招标,运维/外包,★☆☆ 可关注,阶段A-浙商银行官网,https://www.zsbank.com/
127,华东,浙江,浙商银行,指标开发项目,-,-,公开招标,数据/AI,★★☆ 建议关注,阶段A-浙商银行官网,https://www.zsbank.com/
128,华东,浙江,浙商银行,票据服务项目,-,-,公开招标,其他IT,★☆☆ 可关注,阶段A-浙商银行官网,https://www.zsbank.com/
129,华东,浙江,浙商银行,项目外包管理系统项目,-,-,公开招标,运维/外包,★☆☆ 可关注,阶段A-浙商银行官网,https://www.zsbank.com/
130,华东,浙江,浙商银行,服务大厅总线项目,-,-,公开招标,其他IT,★☆☆ 可关注,阶段A-浙商银行官网,https://www.zsbank.com/
131,华东,浙江,浙商银行,设计平台项目,-,-,公开招标,其他IT,★☆☆ 可关注,阶段A-浙商银行官网,https://www.zsbank.com/
132,华东,浙江,浙商银行,测试平台项目,-,-,公开招标,运维/外包,★☆☆ 可关注,阶段A-浙商银行官网,https://www.zsbank.com/
133,华东,浙江,浙商银行,中间件服务项目,-,-,公开招标,其他IT,★☆☆ 可关注,阶段A-浙商银行官网,https://www.zsbank.com/
134,华东,浙江,浙商银行,财务数据管理平台项目,-,-,公开招标,数据/AI,★★☆ 建议关注,阶段A-浙商银行官网,https://www.zsbank.com/
135,华东,浙江,浙商银行,人员全面数据测评项目,-,-,公开招标,数据/AI,★★☆ 建议关注,阶段A-浙商银行官网,https://www.zsbank.com/
136,华东,浙江,浙商银行,分群设系统项目,-,-,公开招标,其他IT,★☆☆ 可关注,阶段A-浙商银行官网,https://www.zsbank.com/
137,华东,浙江,浙商银行,项目原型设计项目,-,-,公开招标,其他IT,★☆☆ 可关注,阶段A-浙商银行官网,https://www.zsbank.com/
138,华中,湖南,湖南银行,2026年资金管理系统研发项目,155万元,2026-06-30,公开招标,其他IT,★☆☆ 可关注,阶段B-湖南银行官网,https://www.hn-bank.com/
139,华南,海南,海南银行,分布式数据库项目,-,-,公开招标,数据/AI,★★☆ 建议关注,阶段B-海南银行官网,https://www.hn-bank.com.cn/
140,华南,海南,海南银行,私有云平台项目,-,-,公开招标,基础设施,★☆☆ 可关注,阶段B-海南银行官网,https://www.hn-bank.com.cn/
141,华南,海南,海南银行,新柜面系统项目,-,-,公开招标,核心/渠道,★☆☆ 可关注,阶段B-海南银行官网,https://www.hn-bank.com.cn/
142,华南,海南,海南银行,贷款风控系统项目,-,-,公开招标,风控/安全,★☆☆ 可关注,阶段B-海南银行官网,https://www.hn-bank.com.cn/
143,华南,海南,海南银行,核心系统测试项目,-,-,公开招标,核心/渠道,★☆☆ 可关注,阶段B-海南银行官网,https://www.hn-bank.com.cn/
144,华南,海南,海南银行,监管报送平台项目,-,-,公开招标,其他IT,★☆☆ 可关注,阶段B-海南银行官网,https://www.hn-bank.com.cn/
145,华北,河北,沧州银行,小程序集成项目,-,-,公开招标,其他IT,★☆☆ 可关注,阶段B-沧州银行官网,https://www.cz-bank.com/
146,华东,江苏,苏州农村商业银行,2026年数据AI研发项目,-,-,公开招标,数据/AI,★★☆ 建议关注,阶段B-苏州农商行官网,https://www.srcbc.com/
147,华东,江苏,苏州农村商业银行,数据安全运营项目,-,-,公开招标,数据/AI,★★☆ 建议关注,阶段B-苏州农商行官网,https://www.srcbc.com/
148,华东,浙江,杭州银行,杭州银行2026年家族信托系统采购项目,120万元,2026-07-06,公开招标,信托,🔥 ★★★ 强烈建议投标,阶段C-千里马招标网,https://zj.qianlima.com/zbcontent-608306591.html
